Rubric Metadata												Criteria (e.g. Metric) Metadata																									
Rubric:  Title	Rubric:  Authors	Rubric:  Coresponding Author	Rubric:  Version	Rubric:  Website or Repository URL	Rubric:  License	Rubric:  License Type	Certification Method:  Present	Scoring Method:  Present	Scoring Output	Implementation Evidence	Community Focus	Criteria:  Title	Criteria:  Code (Assigned by Rubric)	Criteria:  Unique Identifier (e.g. DOI)	Measurement Method	Research Resource:  Type	No Direct Mapping	F aligned:  No requirement mapping	Requirement:  F1	Requirement:  F2	Requirement:  F3	Requirement:  F4	A aligned:  No requirement mapping	Requirement:  A1	Requirement:  A1.1	Requirement:  A1.2	Requirement:  A2	I aligned:  No requirement mapping	Requirement: I1	Requirement: I2	Requirement:  I3	R aligned:  No requirement mapping	Requirement: R1	Requirement: R1.1	Requirement: R1.2	Requirement: R1.3	There is a comment
																For Columns A-E and M-N use the following values in these circumstances:  can't determine = unknown; no or not applicable to the rubric or criteria = null; not yet curated = not curated																					
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.3	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Identifier Uniqueness	FM-F1A	https://purl.org/fair-metrics/FM_F1A	Present or Absent	All Resources	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.4	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Identifier Persistence	FM-F1B	https://purl.org/fair-metrics/FM_F1B	Present or Absent	All Resources	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.5	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Machine-readability of metadata	FM-F2	https://purl.org/fair-metrics/FM_F2	Present or Absent	All Resources	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.6	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Resource Identifier in Metadata	FM-F3	https://purl.org/fair-metrics/FM_F1B	Present or Absent	All Resources	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.7	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Indexed in a searchable resource	FM-F4	https://purl.org/fair-metrics/FM_F4	Computable Action (e.g. HTTP get)	All Resources	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.8	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Access Protocol	FM-A1.1	https://purl.org/fair-metrics/FM_A1.1	Combination	All Resources	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.9	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Access Authorization	FM-A1.2	https://purl.org/fair-metrics/FM_A1.2	Combination	All Resources	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.10	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Metadata Longevity	FM-A2	https://purl.org/fair-metrics/FM_A2	Combination	All Resources	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAIR Metrics	Mark Wilkinson, Susanna Sansone, Michel Dumontier, Peter Doorn, Luiz Olavo Bonino, Erik Schultes	Null	V1.0.11	https://zenodo.org/record/1305060#.Wz_JAJMbOqA	CC-BY-4.0	Permissive	0	1	Color Coded	1	All	Use a Knowledge Representation Language	FM-I1	https://purl.org/fair-metrics/FM_I1	Combination	All Resources	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
